2025-06-09 14:15:21,019 | ERROR | Set MORALIS_API_KEY env var
2025-06-09 14:15:55,277 | INFO | 🚀 spawn tracker BbQLW9G3
2025-06-09 14:15:55,282 | INFO | 🚀 spawn tracker 6prEQq9R
2025-06-09 14:15:55,285 | INFO | 🚀 spawn tracker H6KaAMjw
2025-06-09 14:15:55,288 | INFO | 🚀 spawn tracker 8Vv5NJ2L
2025-06-09 14:15:55,291 | INFO | 🚀 spawn tracker FgxZR3uE
2025-06-09 14:15:55,295 | INFO | 🚀 spawn tracker DLPWUsvz
2025-06-09 14:15:55,298 | INFO | 🚀 spawn tracker 3E5aVwUC
2025-06-09 14:15:55,303 | INFO | 🚀 spawn tracker FqdXX1QN
2025-06-09 14:15:55,310 | INFO | 🚀 spawn tracker E96mEEvk
2025-06-09 14:15:55,313 | INFO | 🚀 spawn tracker 8kv75MTD
2025-06-09 14:15:55,318 | INFO | 🚀 spawn tracker 6KrGLRVj
2025-06-09 14:15:55,324 | INFO | 🚀 spawn tracker HU1wQDmR
2025-06-09 14:15:55,348 | INFO | 🚀 spawn tracker BBzer1B3
2025-06-09 14:15:55,406 | INFO | 🚀 spawn tracker 6ZmJo7BP
2025-06-09 14:15:55,433 | INFO | 🚀 spawn tracker FWwaFPb9
2025-06-09 14:15:55,437 | INFO | 📊 active trackers: 15
2025-06-09 14:16:28,583 | INFO | 📊 active trackers: 15
2025-06-09 14:17:01,465 | INFO | 📊 active trackers: 15
2025-06-09 14:17:38,521 | WARNING | Moralis HTTP 500
2025-06-09 14:17:38,526 | INFO | 📊 active trackers: 15
2025-06-09 14:18:10,808 | INFO | 📊 active trackers: 15
2025-06-09 14:18:44,425 | INFO | 📊 active trackers: 15
2025-06-09 14:19:18,299 | INFO | 📊 active trackers: 15
2025-06-09 14:19:51,445 | INFO | 📊 active trackers: 15
2025-06-09 14:20:24,997 | INFO | 📊 active trackers: 15
2025-06-09 14:20:59,434 | INFO | 📊 active trackers: 15
2025-06-09 14:21:32,144 | INFO | 📊 active trackers: 15
2025-06-09 14:22:06,356 | INFO | 📊 active trackers: 15
2025-06-09 14:22:39,154 | INFO | 📊 active trackers: 15
2025-06-09 14:23:11,722 | INFO | 📊 active trackers: 15
2025-06-09 22:58:21,908 | INFO | 🚀 spawn tracker BFo2cHL1
2025-06-09 22:58:21,910 | INFO | 🚀 spawn tracker 7q26CZ24
2025-06-09 22:58:21,912 | INFO | 🚀 spawn tracker 6j39D2QS
2025-06-09 22:58:21,914 | INFO | 🚀 spawn tracker FBTck2y2
2025-06-09 22:58:21,916 | INFO | 🚀 spawn tracker 75E4gTxN
2025-06-09 22:58:21,919 | INFO | 🚀 spawn tracker 5FC2yio6
2025-06-09 22:58:21,921 | INFO | 🚀 spawn tracker EHJzLTdK
2025-06-09 22:58:21,924 | INFO | 🚀 spawn tracker BBScZ6mk
2025-06-09 22:58:21,930 | INFO | 🚀 spawn tracker 2gkyqf2F
2025-06-09 22:58:21,935 | INFO | 🚀 spawn tracker BtkBW9jw
2025-06-09 22:58:21,944 | INFO | 🚀 spawn tracker BCKMqGuy
2025-06-09 22:58:21,958 | INFO | 🚀 spawn tracker CHNicVyn
2025-06-09 22:58:21,974 | INFO | 🚀 spawn tracker 9pu9kx3W
2025-06-09 22:58:21,987 | INFO | 🚀 spawn tracker 2bmCdZtp
2025-06-09 22:58:21,998 | INFO | 🚀 spawn tracker 7kZute8S
2025-06-09 22:58:22,019 | INFO | 📊 active trackers: 15
2025-06-09 22:58:54,574 | INFO | 📊 active trackers: 15
2025-06-09 22:59:27,440 | INFO | 📊 active trackers: 15
2025-06-09 23:00:00,331 | INFO | 📊 active trackers: 15
2025-06-09 23:00:33,752 | INFO | 📊 active trackers: 15
2025-06-09 23:01:08,349 | INFO | 📊 active trackers: 15
2025-06-09 23:01:40,767 | INFO | 📊 active trackers: 15
2025-06-09 23:02:13,684 | INFO | 📊 active trackers: 15
2025-06-09 23:02:46,557 | INFO | 📊 active trackers: 15
2025-06-09 23:03:18,726 | INFO | 📊 active trackers: 15
2025-06-09 23:03:53,722 | INFO | 📊 active trackers: 15
2025-06-09 23:04:27,500 | INFO | 📊 active trackers: 15
2025-06-09 23:05:02,995 | WARNING | Moralis HTTP 500
2025-06-09 23:05:02,998 | INFO | 📊 active trackers: 15
2025-06-09 23:05:38,149 | WARNING | Moralis HTTP 500
2025-06-09 23:05:38,154 | INFO | 📊 active trackers: 15
2025-06-09 23:06:14,792 | WARNING | Moralis HTTP 500
2025-06-09 23:06:14,796 | INFO | 📊 active trackers: 15
2025-06-09 23:06:50,095 | WARNING | Moralis HTTP 500
2025-06-09 23:06:50,100 | INFO | 📊 active trackers: 15
2025-06-09 23:07:25,320 | WARNING | Moralis HTTP 500
2025-06-09 23:07:25,325 | INFO | 📊 active trackers: 15
2025-06-09 23:07:57,464 | INFO | 📊 active trackers: 15
2025-06-09 23:08:31,155 | INFO | 📊 active trackers: 15
2025-06-09 23:09:06,721 | WARNING | Moralis HTTP 500
2025-06-09 23:09:06,725 | INFO | 📊 active trackers: 15
2025-06-09 23:09:40,787 | INFO | 📊 active trackers: 15
2025-06-09 23:10:14,603 | INFO | 📊 active trackers: 15
2025-06-09 23:10:49,414 | INFO | 📊 active trackers: 15
2025-06-09 23:11:22,525 | INFO | 📊 active trackers: 15
2025-06-09 23:11:55,038 | INFO | 📊 active trackers: 15
2025-06-09 23:12:27,515 | INFO | 📊 active trackers: 15
2025-06-09 23:12:59,833 | INFO | 📊 active trackers: 15
2025-06-09 23:13:32,948 | INFO | 📊 active trackers: 15
2025-06-09 23:14:07,554 | INFO | 📊 active trackers: 15
2025-06-09 23:14:40,859 | INFO | 📊 active trackers: 15
2025-06-09 23:15:15,625 | INFO | 📊 active trackers: 15
2025-06-09 23:20:03,870 | INFO | 🚀 spawn tracker EKPgUtgi
2025-06-09 23:20:03,875 | INFO | 🚀 spawn tracker Hh2N99wN
2025-06-09 23:20:03,879 | INFO | 🚀 spawn tracker 6SGVcnkQ
2025-06-09 23:20:03,882 | INFO | 🚀 spawn tracker AcCuvZXD
2025-06-09 23:20:03,886 | INFO | 🚀 spawn tracker Bh3ozZwi
2025-06-09 23:20:03,889 | INFO | 🚀 spawn tracker HCx6ZboT
2025-06-09 23:20:03,893 | INFO | 🚀 spawn tracker DCXoc862
2025-06-09 23:20:03,897 | INFO | 🚀 spawn tracker HQegkDDJ
2025-06-09 23:20:03,903 | INFO | 🚀 spawn tracker HVhYn8qv
2025-06-09 23:20:03,907 | INFO | 🚀 spawn tracker 7udzi87F
2025-06-09 23:20:03,911 | INFO | 🚀 spawn tracker B9d2p66H
2025-06-09 23:20:03,919 | INFO | 🚀 spawn tracker 32uuZa2X
2025-06-09 23:20:03,927 | INFO | 🚀 spawn tracker ECAs93wL
2025-06-09 23:20:03,940 | INFO | 🚀 spawn tracker Domz7qbE
2025-06-09 23:20:03,947 | INFO | 🚀 spawn tracker EL99wUMD
2025-06-09 23:20:03,955 | INFO | 📊 active trackers: 15
2025-06-09 23:20:37,503 | INFO | 📊 active trackers: 15
2025-06-09 23:21:14,340 | WARNING | Moralis HTTP 500
2025-06-09 23:21:14,343 | INFO | 📊 active trackers: 15
2025-06-09 23:21:46,921 | INFO | 📊 active trackers: 15
