tokenAddress,name,symbol,logo,decimals,priceNative,priceUsd,liquidity,fullyDilutedValuation,createdAt,age_minutes,trackable
76jAVRHgcK9DJbBtmkuekPSpKAwHQpgUXu5KLgfQpump,Is it a cat or is it a hat,HATCAT,,6,0.0000000302174,0.000004832,9974.662751702,4832,2025-06-03T07:34:25.000Z,0.4,True
Bdezm3wEc79EV2Nb9EB38b4zyHiAWrQMZdadZZvKpump,The Original Grok,GROK,,6,0.0000000300755,0.000004808,9950.121737622,4808,2025-06-03T07:34:24.000Z,0.4,True
J8p37cwMYZMf87Np2bBHmp4SiN4xD79wwqKmLUNLpump,Bucat,Bucat,,6,0.0000000572384,0.000009152,13726.687366076,9152,2025-06-03T07:34:19.000Z,0.5,True
B18Qi3X6NJyXs6Uo6gNmxDwfRMpEREEdAHuqrkZo2sS8,hamsterwifcap,cap,,6,0.0000000348860,0.000005578,10717.062580202,5578,2025-06-03T07:34:15.000Z,0.6,True
HnHzU1q9ot5Nq4DgwxPJqToXUZQbrqETYBLEQm8npump,slime ape,slimeape,,6,0.0000000319502,0.000005109,10257.497313556,5109,2025-06-03T07:34:11.000Z,0.7,True
YWdzK1mEm5gYW7WrEM6WeroR6k9h3q4Zdh1YAgVpump,Kingrat,rat,,6,0.0000000361067,0.000005773,10902.943862186,5773,2025-06-03T07:34:10.000Z,0.7,True
AgxSHjxv9Qt69tZCUgvN4CGfaR1X2U7Sj2GB9GVXpump,a cat,cat,,6,0.0000000282136,0.000004511,9638.785468592,4511,2025-06-03T07:34:04.000Z,0.8,True
1cuH6vNniq6eD71ayQUAinLyeo9An5fNri5PChepump,,,,,0.0000000421425,0.000006739,11779.58771073,,2025-06-03T07:33:55.000Z,0.9,True
9VqYSmfV6pXs2tZ1kuxmXPBQVY6Bn7M3T6vNy1Akpump,Used Car for james Wayne ,Used Car ,,6,0.0000000281080,0.000004495,9620.987209358,4495,2025-06-03T07:33:49.000Z,1.0,True
Ex3aqVsKFVZ6MiDhHYNygbrKpGibMsNMoedNTKTSpump,名前:じ,Grandpa,,6,0.0000000279683,0.000004468,9587.988793144,4468,2025-06-03T07:33:43.000Z,1.1,True
4Z3FKe1UgwMpZ9sdpnjnnCALXKZ7NcTvW5smRvGKpump,Ferrum Network,FRM,,6,0.0000000519637,0.000008309,13079.767593168,8309,2025-06-03T07:33:37.000Z,1.2,True
B4WwGhWn2n6DxMEdnUqKd5GoqPw4WuhyCPk167gjpump,Cats Selfie,Cats Selfi,,6,0.0000000281491,0.000004501,9628.01686285,4501,2025-06-03T07:33:33.000Z,1.3,True
A4KuUQWaa2rBc56AjFGKBc6DEQYNEMGJicfho8SHpump,backed by nothing ¯\_(ツ)_/¯,bbn ,,6,0.0000000279704,0.000004473,9597.563159126,4473,2025-06-03T07:33:21.000Z,1.5,True
AxZX6g2DprfH2y9Dt9xL7L9GyrZEP6yRkzC1vT9Jpump,Claude's Sad Brother,Haiku,,6,0.0000000279704,0.000004473,9597.563157208,4473,2025-06-03T07:33:18.000Z,1.5,True
GxormyH6fixmSwo372EBxRwvtDi8LstueP2oj7VMpump,Green Candles Only,Only,,6,0.0000000298349,0.000004773,9915.689161992,4773,2025-06-03T07:33:11.000Z,1.7,True
Ems8KW9PXSGyQP7qhWRwTMyhLrk5AaRnDb1jknXEpump,we are the lucky,82.1%,,6,0.0000000317717,0.000005082,10231.381120928,5082,2025-06-03T07:33:11.000Z,1.7,True
H7SGwvEDGCdojxv4aX9GgPk7yZ6564oCCmKRL2gppump,Solar Doge,SolarDoge,,6,0.0000000282549,0.000004517,9642.588162898,4517,2025-06-03T07:33:09.000Z,1.7,True
DyFJeZRYQy37ydZ2rT565MEdztP3fisoBSipG2Lgpump,The Blessed Bear ,Bullish ,,6,0.0000000281484,0.000004497,9618.956836218,4497,2025-06-03T07:32:56.000Z,1.9,True
HjQPwBbasSPtiDiYWaru2UkUiLniJjZDcnyRvsvspump,Beni the Mini Pudu,Beni,,6,0.0000000281484,0.000004501,9626.624045394,4501,2025-06-03T07:32:55.000Z,1.9,True
CqGGKqqSyN4UpPZMP162uR8rrSsohkRQuQ1LCMSMpump,Sadcat,Sadcat,,6,0.0000000632320,0.000010107,14422.647138086,10107,2025-06-03T07:32:46.000Z,2.1,True
CLEFWC2ZBtEqrQPDSXegbZH2ELQ78Xn9GcJvV9b2pump,meow,meow,,6,0.0000000436694,0.000006983,11991.085716656,6983,2025-06-03T07:32:42.000Z,2.1,True
98MKfnr4JHA7mMsW8kUVcMvvmH64dKQ8hstk1sTYpump,purrpetrator,purrp,,6,0.0000000298885,0.000004779,9920.229535122,4779,2025-06-03T07:32:29.000Z,2.4,True
8CadsMZGAaagJ5aHcS21HkGRyGFm4duHi7shKDk8pump,ELON TUSK ,TUSK ,,6,0.0000000286042,0.000004574,9704.76073368,4574,2025-06-03T07:32:27.000Z,2.4,True
umbDgWvfcCEreNrfRt97Dvyc1vwohMELfCJxXF8pump,selfiewifcat,SELFIE,,6,0.0000000494101,0.000007901,12755.935594448,7901,2025-06-03T07:32:04.000Z,2.8,True
A1os1xYakbKumxCC9T3xEgRrEJJbg2t8AkwBPquspump,Bucat,Bucat,,6,0.0000000326385,0.000005217,10363.204846504,5217,2025-06-03T07:31:54.000Z,2.9,True
DqfK3t6uBAxyWkgkF9Jq2QHreAfCMCui9dJgUXJvpump,Cute Ass Turtle,CAT,,6,0.0000000281830,0.000004505,9629.91141168,4505,2025-06-03T07:31:50.000Z,3.0,True
